state,fips,cases,deaths
Washington,53,419977,5658
Illinois,17,1363563,24640
California,06,3763317,62467
Arizona,04,870624,17430
Massachusetts,25,699187,17712
Wisconsin,55,667850,7687
Texas,48,2922839,50953
Nebraska,31,222088,2385
Utah,49,401318,2249
Oregon,41,193014,2567
Florida,12,2278541,35881
New York,36,2075757,52291
Rhode Island,44,150252,2696
Georgia,13,1087750,19795
New Hampshire,33,97093,1322
North Carolina,37,987144,12854
New Jersey,34,1009093,25873
Colorado,08,529632,6529
Maryland,24,454463,8879
Nevada,32,319714,5515
Tennessee,47,840839,12197
Hawaii,15,33762,486
Indiana,18,735139,13445
Kentucky,21,453525,6728
Minnesota,27,590529,7348
Oklahoma,40,450543,6878
Pennsylvania,42,1183747,26715
South Carolina,45,585601,9603
District of Columbia,11,48336,1115
Kansas,20,313384,5071
Missouri,29,607269,9367
Vermont,50,23651,252
Virginia,51,668147,10934
Connecticut,09,344141,8161
Iowa,19,368567,5994
Louisiana,22,463997,10463
Ohio,39,1087182,19441
Michigan,26,969452,19515
South Dakota,46,123518,1988
Arkansas,05,338043,5777
Delaware,10,106455,1644
Mississippi,28,314147,7244
New Mexico,35,200232,4113
North Dakota,38,108793,1532
Wyoming,56,58893,712
Alaska,02,68705,336
Maine,23,64748,798
Alabama,01,531751,10997
Idaho,16,189657,2066
Montana,30,110401,1595
West Virginia,54,157215,2748
