state,fips,cases,deaths
Washington,53,425382,5682
Illinois,17,1371126,24801
California,06,3770077,62700
Arizona,04,873446,17466
Massachusetts,25,702338,17772
Wisconsin,55,670017,7712
Texas,48,2931537,51139
Nebraska,31,222512,2364
Utah,49,402798,2259
Oregon,41,196004,2616
Florida,12,2293972,36132
New York,36,2085028,52449
Rhode Island,44,150648,2701
Georgia,13,1091492,19860
New Hampshire,33,97774,1333
North Carolina,37,992520,12915
New Jersey,34,1011107,25974
Colorado,08,535375,6592
Maryland,24,456408,8932
Nevada,32,321081,5533
Tennessee,47,843588,12228
Hawaii,15,34247,489
Indiana,18,739327,13486
Kentucky,21,455442,6832
Minnesota,27,595109,7389
Oklahoma,40,451278,6878
Pennsylvania,42,1191979,26890
South Carolina,45,588939,9654
District of Columbia,11,48590,1122
Kansas,20,314136,5080
Missouri,29,609286,9393
Vermont,50,23912,252
Virginia,51,670465,11029
Connecticut,09,345639,8194
Iowa,19,369489,6006
Louisiana,22,465946,10489
Ohio,39,1091623,19528
Michigan,26,977992,19799
South Dakota,46,123686,1993
Arkansas,05,338849,5796
Delaware,10,107089,1651
Mississippi,28,315026,7257
New Mexico,35,201186,4118
North Dakota,38,109165,1534
Wyoming,56,59222,712
Alaska,02,69032,347
Maine,23,65914,803
Alabama,01,540267,11038
Idaho,16,190354,2071
Montana,30,110825,1598
West Virginia,54,158643,2762
