state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,7152780.0,3487638.0,2409840.0,74713.0
Illinois,17,11924315.0,5836316.0,3790076.0,104186.0
California,06,38562350.0,19054735.0,11796688.0,367495.0
Arizona,04,6536895.0,2943500.0,2078095.0,47964.0
Massachusetts,25,7186080.0,3814116.0,2461918.0,88516.0
Wisconsin,55,5189475.0,2636880.0,2011920.0,48618.0
Texas,48,25102855.0,10999257.0,7654594.0,187797.0
Nebraska,31,1756310.0,833322.0,626278.0,11726.0
Utah,49,2522960.0,1254474.0,749497.0,20761.0
Oregon,41,3823165.0,1848204.0,1264674.0,46528.0
Florida,12,20311695.0,8879732.0,6136199.0,165262.0
New York,36,18561285.0,9170858.0,6579272.0,176998.0
Rhode Island,44,1119045.0,551411.0,378325.0,11439.0
Georgia,13,9239535.0,3684661.0,2527545.0,68264.0
New Hampshire,33,1302765.0,815590.0,403679.0,2997.0
North Carolina,37,9580050.0,4083191.0,2961996.0,58867.0
New Jersey,34,8501525.0,4545175.0,3150175.0,87334.0
Colorado,08,5335910.0,2658086.0,1824323.0,54930.0
Maryland,24,5918070.0,2903198.0,2023126.0,59704.0
Nevada,32,2499700.0,1210441.0,841808.0,17921.0
Tennessee,47,5456970.0,2327527.0,1644492.0,38419.0
Hawaii,15,1465070.0,737226.0,496734.0,14898.0
Indiana,18,5443410.0,2406345.0,1767251.0,39706.0
Kentucky,21,3906775.0,1822975.0,1400209.0,25063.0
Minnesota,27,4930410.0,2621229.0,1890871.0,50512.0
Oklahoma,40,3722765.0,1518260.0,1162129.0,17239.0
Pennsylvania,42,12499395.0,6267560.0,4027307.0,132001.0
South Carolina,45,4510405.0,1868700.0,1386994.0,31861.0
District of Columbia,11,827895.0,334206.0,206340.0,8061.0
Kansas,20,2727885.0,1233392.0,902408.0,16735.0
Missouri,29,5178655.0,2298354.0,1655078.0,43943.0
Vermont,50,671950.0,340072.0,229298.0,7669.0
Virginia,51,8010395.0,3979508.0,2739248.0,81784.0
Connecticut,09,3832005.0,1937627.0,1350870.0,38710.0
Iowa,19,2790335.0,1383035.0,1046172.0,24902.0
Louisiana,22,3638020.0,1497817.0,1237218.0,20091.0
Ohio,39,10493195.0,4684613.0,3694410.0,85931.0
Michigan,26,9338570.0,4218933.0,3118484.0,83294.0
South Dakota,46,894985.0,393573.0,318790.0,5899.0
Arkansas,05,2628460.0,1067532.0,754913.0,15008.0
Delaware,10,967025.0,450711.0,309366.0,9342.0
Mississippi,28,2415815.0,915125.0,692450.0,8864.0
New Mexico,35,2049565.0,1061291.0,764785.0,14214.0
North Dakota,38,641960.0,297564.0,247082.0,3341.0
Wyoming,56,478185.0,195885.0,158672.0,2263.0
Alaska,02,768205.0,304657.0,255008.0,2913.0
Maine,23,1362340.0,727268.0,517435.0,13900.0
Alabama,01,4042070.0,1579093.0,1121348.0,23662.0
Idaho,16,1419415.0,602930.0,475681.0,8970.0
Montana,30,983905.0,432256.0,337360.0,6386.0
West Virginia,54,1640115.0,637946.0,534200.0,7413.0
